カテゴリ: すべてのカテゴリ

時間,League of Legends: (すべての国),Tier list: (すべての国)
2024-02-01T16,52,19
2024-02-01T17,58,18
2024-02-01T18,56,17
2024-02-01T19,56,17
2024-02-01T20,59,16
2024-02-01T21,62,18
2024-02-01T22,60,20
2024-02-01T23,63,19
2024-02-02T00,60,21
2024-02-02T01,62,22
2024-02-02T02,67,23
2024-02-02T03,71,22
2024-02-02T04,70,24
2024-02-02T05,71,25
2024-02-02T06,79,27
2024-02-02T07,88,30
2024-02-02T08,82,32
2024-02-02T09,78,30
2024-02-02T10,74,29
2024-02-02T11,73,29
2024-02-02T12,73,28
2024-02-02T13,65,28
2024-02-02T14,58,24
2024-02-02T15,54,22
2024-02-02T16,53,18
2024-02-02T17,56,18
2024-02-02T18,51,17
2024-02-02T19,56,17
2024-02-02T20,61,18
2024-02-02T21,62,18
2024-02-02T22,62,18
2024-02-02T23,62,19
2024-02-03T00,60,21
2024-02-03T01,63,22
2024-02-03T02,64,24
2024-02-03T03,70,24
2024-02-03T04,72,25
2024-02-03T05,78,26
2024-02-03T06,85,29
2024-02-03T07,93,34
2024-02-03T08,95,35
2024-02-03T09,87,35
2024-02-03T10,83,31
2024-02-03T11,84,33
2024-02-03T12,80,33
2024-02-03T13,75,31
2024-02-03T14,74,25
2024-02-03T15,74,26
2024-02-03T16,63,23
2024-02-03T17,65,21
2024-02-03T18,65,20
2024-02-03T19,67,22
2024-02-03T20,72,21
2024-02-03T21,75,21
2024-02-03T22,72,23
2024-02-03T23,74,22
2024-02-04T00,74,24
2024-02-04T01,77,26
2024-02-04T02,79,25
2024-02-04T03,84,27
2024-02-04T04,82,29
2024-02-04T05,87,30
2024-02-04T06,97,34
2024-02-04T07,100,36
2024-02-04T08,99,38
2024-02-04T09,91,35
2024-02-04T10,91,36
2024-02-04T11,89,36
2024-02-04T12,89,33
2024-02-04T13,85,34
2024-02-04T14,81,34
2024-02-04T15,75,29
2024-02-04T16,70,27
2024-02-04T17,66,22
2024-02-04T18,68,21
2024-02-04T19,71,22
2024-02-04T20,72,23
2024-02-04T21,75,23
2024-02-04T22,76,24
2024-02-04T23,75,25
2024-02-05T00,74,25
2024-02-05T01,77,25
2024-02-05T02,80,27
2024-02-05T03,81,28
2024-02-05T04,85,30
2024-02-05T05,82,30
2024-02-05T06,88,31
2024-02-05T07,90,35
2024-02-05T08,88,35
2024-02-05T09,81,34
2024-02-05T10,74,30
2024-02-05T11,71,32
2024-02-05T12,73,27
2024-02-05T13,66,25
2024-02-05T14,58,22
2024-02-05T15,55,21
2024-02-05T16,52,18
2024-02-05T17,50,17
2024-02-05T18,53,16
2024-02-05T19,55,17
2024-02-05T20,56,17
2024-02-05T21,62,17
2024-02-05T22,59,18
2024-02-05T23,57,18
2024-02-06T00,60,20
2024-02-06T01,66,20
2024-02-06T02,68,22
2024-02-06T03,73,22
2024-02-06T04,73,24
2024-02-06T05,75,27
2024-02-06T06,75,27
2024-02-06T07,84,29
2024-02-06T08,82,30
2024-02-06T09,80,31
2024-02-06T10,75,28
2024-02-06T11,70,32
2024-02-06T12,73,33
2024-02-06T13,67,32
2024-02-06T14,61,26
2024-02-06T15,56,23
2024-02-06T16,54,20
2024-02-06T17,52,18
2024-02-06T18,54,18
2024-02-06T19,54,18
2024-02-06T20,60,18
2024-02-06T21,59,19
2024-02-06T22,59,19
2024-02-06T23,55,20
2024-02-07T00,60,21
2024-02-07T01,59,21
2024-02-07T02,67,23
2024-02-07T03,68,24
2024-02-07T04,83,24
2024-02-07T05,86,27
2024-02-07T06,88,28
2024-02-07T07,93,31
2024-02-07T08,93,30
2024-02-07T09,92,29
2024-02-07T10,80,30
2024-02-07T11,83,28
2024-02-07T12,84,29
2024-02-07T13,81,27
2024-02-07T14,78,24
2024-02-07T15,71,21
2024-02-07T16,64,18
2024-02-07T17,69,19
2024-02-07T18,71,16
2024-02-07T19,76,16
2024-02-07T20,75,17
2024-02-07T21,77,18
2024-02-07T22,79,19
2024-02-07T23,74,19
2024-02-08T00,76,20
2024-02-08T01,75,22
2024-02-08T02,81,24
2024-02-08T03,86,26
2024-02-08T04,91,26
2024-02-08T05,94,30
2024-02-08T06,89,31
2024-02-08T07,93,32
2024-02-08T08,98,35
2024-02-08T09,90,34
2024-02-08T10,85,33
2024-02-08T11,82,33
2024-02-08T12,85,32
2024-02-08T13,75,30
2024-02-08T14,69,27
2024-02-08T15,63,24
